Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Renaissance,0.588MW,15,PSS2024-163,PSS2024-163 (CPT DRIVES)  MV Section for Renaissance,CPT DRIVES,,,"20,865.00","19,500.00","1,365.00","20,865.00",DINV24/09/0846,02/09/2024,"20,865.00","20,865.00",,,12/01/2024,,"20,865.00"
Renaissance,0.588MW,16,PSS2024-168,PSS2024-168 FD-0.6-1KV CV 4Cx70 SQ.MM. Thai Yazaki for Renaissance_CSS,CSS,,,"16,382.19","15,310.46","1,071.73","16,382.19",CO 2024080202,13/8/2024,"16,382.19","16,382.19",,,12/01/2024,,"16,382.19"
Renaissance,0.588MW,17,PSS2024-170,PSS2024-170 Additional Accessories for support basket tray for for Renaissance_Zigma,Zigma,,,,"3,780.00",264.60,"4,044.60",,,,,,"4,044.60",,05/04/2026,"4,044.60"
Renaissance,0.588MW,18,PSS2024-172,PSS2024-172 MV Section Additional cost for PQM Meter installation for Renaissance_CPT,CPT,,,"22,470.00","21,000.00","1,470.00","22,470.00",DINV24/09/0847,02/09/2024,"22,470.00","22,470.00",,,12/01/2024,,"22,470.00"
Renaissance,0.588MW,19,PSS2024-182,PSS2024-182 (P.J.SUMTECH) Additional work on polishing and smoothing the surface of the basket tray for Renaissance,P.J.SUMTECH,,,"16,050.00","15,000.00","1,050.00","16,050.00",IV-PJ-2024-458,08/11/2024,"16,050.00","16,050.00",,,12/01/2024,,"16,050.00"
Renaissance,0.588MW,20,PSS2024-201,PSS2024-201 Hiab 10 wheels 5 tons for Renaissance_BK ATM,A-NGUN,,,"241,285.00","225,500.00","15,785.00","241,285.00",IV6704757,11/10/2024,"241,285.00","241,285.00",,,12/01/2024,,"241,285.00"
Renaissance,0.588MW,21,PSS2024-209,PSS2024-209 (Home Product) TV and Accessories for Renaissance,HOME PRODUCT,,,"10,469.00","9,784.11",684.89,"10,469.00",687454,25/10/2024,"10,469.00","10,469.00",,,12/01/2024,,"10,469.00"
Renaissance,0.588MW,22,PSS2024-215,PSS2024-215  I-V TEST for Renaissance_Parabolic,PARABOLIC,,,,"25,000.00","1,750.00","26,750.00",,,,,,"26,750.00",,05/04/2026,"26,750.00"
Renaissance,0.588MW,23,PSS2024-225,PSS2024-225 EVT-LMS-10 to remote server for Renaissance_Envision,ENVISION,,,"49,220.00","46,000.00","3,220.00","49,220.00",IV2412030,20/12/2024,"49,220.00","49,220.00",,,12/01/2024,,"49,220.00"
Renaissance,0.588MW,24,PSS2025-038,PSS2025-038 PV Cleaning for Renaissance OM,Mr. Athit Saengsai,,,"7,303.50","7,303.50",0.00,"7,303.50",,12/01/2024,"7,303.50","7,303.50",,,12/01/2024,,"7,303.50"
Renaissance,0.588MW,25,,Air Ticket to Renaissance Project 8-9 Oct 2024,Kh.Suraphol,Expense,,,"12,950.00",0.00,"12,950.00",,12/01/2024,"12,950.00","12,950.00",,,12/01/2024,,"12,950.00"
Renaissance,0.588MW,26,,Air Ticket to Renaissance Project 18-20 Apr 2025,Kh.Suwit,Expense,,,"6,650.00",0.00,"6,650.00",,12/01/2024,"6,650.00","6,650.00",,,12/01/2024,,"6,650.00"
Renaissance,0.588MW,27,,Advance SHIPPING CLEAR AND TRANSPORT PV MODULE (Best Overseas Transport),Best Overseas,Expense,,,"40,000.00",0.00,"40,000.00",,12/01/2024,"40,000.00","40,000.00",,,12/01/2024,,"40,000.00"
Renaissance,0.588MW,28,,Final Payment SHIPPING CLEAR AND TRANSPORT PV MODULE (Best Overseas Transport),Best Overseas,Expense,,,"5,194.05",0.00,"5,194.05",,12/01/2024,"5,194.05","5,194.05",,,12/01/2024,,"5,194.05"
Renaissance,0.588MW,29,,SHIPPING TRANSPORT CLEARANCE SERVICE INVERTER (Best Overseas Transport),Best Overseas,Expense,,,"36,400.00",0.00,"36,400.00",,12/01/2024,"36,400.00","36,400.00",,,12/01/2024,,"36,400.00"
Renaissance,0.588MW,30,,Airfare to Renaissance Project,Expense,Expense,,,"9,750.00",0.00,"9,750.00",,12/01/2024,"9,750.00","9,750.00",,,12/01/2024,,"9,750.00"
Renaissance,0.588MW,31,,License fee Aor.1 for Renaissance project,TBA,Expense,,,"5,888.00",0.00,"5,888.00",,12/01/2024,"5,888.00","5,888.00",,,12/01/2024,,"5,888.00"
Renaissance,0.588MW,32,,Airfare to Renaissance Project 4/6/2024 - 5/6/2024,Expense,Expense,,,"5,950.00",0.00,"5,950.00",,12/01/2024,"5,950.00","5,950.00",,,12/01/2024,,"5,950.00"
Renaissance,0.588MW,33,,Site Expense for Renaissance (Site Engineer On Site),K.Kittikun,Expense,,,"25,000.00",0.00,"25,000.00",,12/01/2024,"25,000.00","25,000.00",,,12/01/2024,,"25,000.00"
Renaissance,0.588MW,34,,Expense for Survey Renaissance project,TBA,Expense,,,"21,497.00",0.00,"21,497.00",,12/01/2024,"21,497.00","21,497.00",,,12/01/2024,,"21,497.00"
Renaissance,0.588MW,35,,Oil for Generator at Renaissance project,Advance Niramon,Expense,,,"9,978.00",0.00,"9,978.00",,12/01/2024,"9,978.00","9,978.00",,,12/01/2024,,"9,978.00"
Renaissance,0.588MW,36,,Parallel generator document verification fee.,PEA,Expense,,,"72,225.00",0.00,"72,225.00",,12/01/2024,"72,225.00","72,225.00",,,12/01/2024,,"72,225.00"
Renaissance,0.588MW,37,,Expense for Training renaissance 18-20 Apr 2025,Advance Kh.Suwit,Expense,,,"10,246.61",0.00,"10,246.61",,12/01/2024,"10,246.61","10,246.61",,,12/01/2024,,"10,246.61"
Renaissance,0.588MW,38,,HOTEL Rental 6 sep 24,K.Suraphol,Expense,,,500.00,0.00,500.00,,12/01/2024,500.00,500.00,,,12/01/2024,,500.00
Renaissance,0.588MW,39,,HOTEL Rental 9 Oct 24,K.Suraphol,Expense,,,500.00,0.00,500.00,,12/01/2024,500.00,500.00,,,12/01/2024,,500.00
Renaissance,0.588MW,40,,Food at Renaissance Project,K.Suraphol,Expense,,,"1,890.00",0.00,"1,890.00",,12/01/2024,"1,890.00","1,890.00",,,12/01/2024,,"1,890.00"
Renaissance,0.588MW,41,,HOTEL Rental 1-8 Nov 2024,K.Kittikun,Expense,,,"3,500.00",0.00,"3,500.00",,12/01/2024,"3,500.00","3,500.00",,,12/01/2024,,"3,500.00"
