Project,Capacity,Item No.,PO Number,Description,Supplier,Milestone,Milestone %,Amount Due (Commitment),Contract (ex-VAT),VAT 7%,Contract (incl. VAT),Invoice No.,Invoice Date,Invoice Value,Paid,Invoice Balance,Not Yet Invoiced,Paid Date,Planned Date,Payment Amount
Walailak University,6 MW,E4,,Expense for Walailak University project (for 3 Month ),Advance K.Suraphol,Expense,,,,,"35,372.50",,05/01/2025,"35,372.50","35,372.50",,,05/01/2025,,"35,372.50"
Walailak University,6 MW,E4,,"I Square team to visit 3 sites LPF, Walailak, Renaissance",Advance K.Suwit,Expense,,,,,"6,520.00",,05/01/2025,"6,520.00","6,520.00",,,05/01/2025,,"6,520.00"
Walailak University,6 MW,E4,,I Square team to visit Walailak,Advance K.Suwit,Expense,,,,,"8,470.00",,05/01/2025,"8,470.00","8,470.00",,,05/01/2025,,"8,470.00"
Walailak University,6 MW,E4,,Support the cost of organizing a charity golf tournament,Advance K.Niramon,Expense,,,,,"30,000.00",,05/01/2025,"30,000.00","30,000.00",,,05/01/2025,,"30,000.00"
Walailak University,6 MW,E18,,Expenses Claim Travel to submit document at walailak,Expenses Claim Kh.Thitima,Expense,,,,,"1,007.50",,05/01/2025,"1,007.50","1,007.50",,,05/01/2025,,"1,007.50"
Walailak University,6 MW,1,,Air Ticket to Walailak Project 12-13 Nov 2024,Kh.Kiattisak,Expense,,,,,"5,950.00",,05/01/2025,"5,950.00","5,950.00",,,05/01/2025,,"5,950.00"
Walailak University,6 MW,2,,Air Ticket to Walailak Project 12-13 Nov 2024,Kh.Wipha,Expense,,,,,"5,950.00",,05/01/2025,"5,950.00","5,950.00",,,05/01/2025,,"5,950.00"
Walailak University,6 MW,3,,Air Ticket to Walailak Project 12-13 Nov 2024,Kh.Chaweng,Expense,,,,,"5,950.00",,05/01/2025,"5,950.00","5,950.00",,,05/01/2025,,"5,950.00"
Walailak University,6 MW,4,,Air Ticket to Walailak Project 22 Nov 2024,Kh.Sam,Expense,,,,,"8,750.00",,05/01/2025,"8,750.00","8,750.00",,,05/01/2025,,"8,750.00"
Walailak University,6 MW,5,,Air Ticket to Walailak Project 22 Nov 2024,Kh.Nakkarin,Expense,,,,,"8,750.00",,05/01/2025,"8,750.00","8,750.00",,,05/01/2025,,"8,750.00"
Walailak University,6 MW,6,,Air Ticket to Walailak Project 22 Nov 2024,Kh.Chaweng,Expense,,,,,"8,750.00",,05/01/2025,"8,750.00","8,750.00",,,05/01/2025,,"8,750.00"
Walailak University,6 MW,7,,Air Ticket to Walailak Project 16-19 Jan 2025,Kh. Suraphol,Expense,,,,,"7,950.00",,05/01/2025,"7,950.00","7,950.00",,,05/01/2025,,"7,950.00"
Walailak University,6 MW,8,,Air Ticket to Walailak Project 19 Jun 2025,Kh. Suraphol,Expense,,,,,"3,900.00",,05/01/2025,"3,900.00","3,900.00",,,05/01/2025,,"3,900.00"
Walailak University,6 MW,9,,Air Ticket to Walailak Project 05 Jul 2025,Kh. Suraphol,Expense,,,,,"3,900.00",,05/01/2025,"3,900.00","3,900.00",,,05/01/2025,,"3,900.00"
Walailak University,6 MW,10,,Air Ticket to Walailak Project 25-29 Aug 2025,Kh. Suraphol,Expense,,,,,"5,750.00",,05/01/2025,"5,750.00","5,750.00",,,05/01/2025,,"5,750.00"
Walailak University,6 MW,11,,Air Ticket to Walailak Project DMK-NST 15 Sep 2025,Kh. Suraphol,Expense,,,,,"3,600.00",,05/01/2025,"3,600.00","3,600.00",,,05/01/2025,,"3,600.00"
Walailak University,6 MW,12,,Air Ticket to Walailak Project NST-DMK 20 Sep 2025,Kh. Suraphol,Expense,,,,,"3,600.00",,05/01/2025,"3,600.00","3,600.00",,,05/01/2025,,"3,600.00"
Walailak University,6 MW,13,,Air Ticket to Walailak Project DMK-NST-DMK 2 Oct 2025,"Kh.Thitima ,Kh.Nateekarn",Expense,,,,,"11,900.00",,05/01/2025,"11,900.00","11,900.00",,,05/01/2025,,"11,900.00"
